,T_in,P_in,M_in,P_out,Power_Output,T_out
72,298.07953091499735,14218926.270714417,73.80375963683818,8082932.58,3.4625645,244.621764
73,117.07364614077802,27220823.048524413,143.76753633188073,21412516.2,1.33473145,102.377663
74,270.5585796744637,21060847.78958323,133.96744801750336,9067218.34,8.31600053,191.69339
75,164.87057321684634,17332126.259991013,95.46115216798742,10695116.7,2.45834804,122.628326
76,500.53093012364695,20043838.036768995,87.64368748471139,9079399.93,8.12799787,413.233009
77,461.3713822065325,19706903.097018518,95.65402831611644,17866607.5,1.11540725,450.266416
78,524.5808197377146,22950662.186789606,103.47538625231056,20539670.8,1.50599292,511.357023
79,335.0198108553045,22624603.14834573,127.14865470057629,7658648.95,11.586694,230.668887
80,366.5782474192695,14470810.833426803,136.00819994007855,7852676.36,7.92363473,305.853096
81,485.0429906121678,26327041.302296977,137.67946588565025,12543436.1,11.8037164,402.646452
82,349.18593716576345,16695428.005771602,146.59391650610468,16608088.4,0.0757087799,348.638521
83,137.6570673834334,27393459.80959916,60.62621897415404,18557643.8,1.01476161,109.545849
84,355.87085164640746,22731446.73017475,70.0798669756454,15303246.2,2.64318634,314.860643
85,150.78467255954502,29331478.922223266,147.05911737871176,25955390.5,0.902301381,141.675703
86,226.8389991756268,21503152.562624805,70.25949392038356,11768153.0,2.79580226,171.079398
87,325.0261482486215,13683946.287022706,75.05707045783332,10438206.8,1.85025417,298.277036
88,464.75261611106055,29370236.907577947,67.96591812258004,20261429.7,2.96474352,422.635151
89,200.84376468293974,20353286.62008947,153.0722993277005,15977490.1,2.34734767,178.497955
90,272.0233216688667,19725547.222861633,137.7412673203627,14564407.0,3.31193487,242.434824
91,133.97398737351796,10601224.79363164,95.28138265476127,7672184.35,1.59533859,106.899223
92,497.54733311737647,15494402.668873332,120.71158695171678,9038388.2,7.75474125,437.859438
93,235.6025493210954,14418865.073194508,145.31391068243033,10509910.5,3.33735808,206.284411
94,197.08658887966604,22142726.672483306,108.52769706120301,9887301.43,4.98676597,125.518689
95,328.73140718520597,27094435.349481266,112.28341980509293,7975983.26,11.1459402,211.339831
96,464.05118898879084,18803359.687067673,79.07675439789475,15488526.6,1.80930178,442.267841
97,292.7027475247189,23218877.21237828,119.27276599765857,16249870.7,3.52463453,257.195723
98,337.23757578338774,25546601.813030336,129.9471961636347,13384742.4,7.45509315,271.977358
99,407.18977629944345,26668775.00341116,80.61452647929879,14186897.8,5.2230712,340.052832
100,127.53675690581981,21698877.70275189,134.68854678825318,18666891.4,0.86916966,116.096027
101,249.8255983287782,25826818.913180903,76.12864378971237,11648825.6,4.16109229,175.353509
102,276.887891307092,25079357.926821582,136.61218568140143,19783440.2,2.61453435,253.341384
103,395.2325380256193,25503671.266205467,86.43686685171744,12607393.0,6.05499189,321.541414
104,81.46232757482375,25144633.70567213,131.23235375069726,23575206.4,0.25889748,78.8566914
105,359.1252254087007,22303234.076481655,142.95084391433483,15626173.3,4.90406298,322.090977
